transicao,CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,taxa_real,taxa_prev,mat_t1,alunos_real,alunos_prev,residuo_alunos
2022-2023,26105519,ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTOS COSME E DAMIAO,Igarassu,0.0,0.21040046215057373,918.0,0.0,1.9314762425422667,-1.9314762425422667
2022-2023,26105888,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO NOVA CRUZ,Igarassu,0.0,0.645798921585083,179.0,0.0,1.1559800696372986,-1.1559800696372986
2022-2023,26187825,ESCOLA TECNICA ESTADUAL JURANDIR BEZERRA LINS,Igarassu,0.0,0.1811646968126297,480.0,0.0,0.8695905447006226,-0.8695905447006226
2022-2023,26017598,ESCOLA ESTADUAL JOAQUIM ALVES DE FREITAS,Iguaracy,0.0,1.0222158432006836,151.0,0.0,1.5435459232330322,-1.5435459232330322
2022-2023,26017750,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA ROSETE BEZERRA DE SOUZA,Iguaracy,0.0,0.5116077661514282,289.0,0.0,1.4785464441776275,-1.4785464441776275
2022-2023,26027917,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANTONIO GUILHERME DIAS LIMA,Inajá,0.0,0.5499383807182312,516.0,0.0,2.837682044506073,-2.837682044506073
2022-2023,26028409,ESCOLA MARIA GILDETE ARAUJO,Inajá,29.4,9.392988204956055,52.0,15.287999999999998,4.884353866577149,10.40364613342285
2022-2023,26028506,ESCOLA ESTADUAL INDIGENA AIMBERE,Inajá,23.8,6.384011268615723,134.0,31.892000000000003,8.554575099945069,23.337424900054934
2022-2023,26028573,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL JOEL PEDRO DA SILVA,Inajá,0.0,0.5004086494445801,96.0,0.0,0.48039230346679684,-0.48039230346679684
2022-2023,26018020,ESCOLA DE REFERENCIA EM ENSINO MEDIO ARISTAQUE JOSE DE VERAS,Ingazeira,5.4,1.263907790184021,170.0,9.180000000000001,2.148643243312836,7.031356756687165
